City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Cao Bang,VN,2022-02-13 22:10:07,22.6667,106.25,48.18,94,7,1.86,clear sky
137,Saint-Pierre,RE,2022-02-13 22:10:07,-21.3393,55.4781,78.48,83,0,13.8,clear sky
138,Bethel,US,2022-02-13 22:10:08,41.3712,-73.414,29.68,67,100,8.05,overcast clouds
139,Rabaul,PG,2022-02-13 22:10:08,-4.1967,152.1721,79.41,80,100,5.14,overcast clouds
140,Bredasdorp,ZA,2022-02-13 22:10:08,-34.5322,20.0403,65.28,80,96,14.76,overcast clouds
141,Pirmasens,DE,2022-02-13 22:10:09,49.2015,7.6053,48.25,80,60,6.11,broken clouds
142,Kansanshi,ZM,2022-02-13 22:10:09,-12.0951,26.4273,60.6,90,99,2.1,overcast clouds
143,Batagay-Alyta,RU,2022-02-13 22:10:10,67.8006,130.4114,-8.46,81,100,3.71,overcast clouds
144,Pimentel,PE,2022-02-13 22:10:10,-6.8367,-79.9342,77.29,61,0,19.57,clear sky
145,Kununurra,AU,2022-02-13 22:08:25,-15.7667,128.7333,75.18,88,4,3.44,clear sky
146,Salym,RU,2022-02-13 22:10:11,60.0625,71.4789,3.02,97,100,3.78,light snow
147,Harper,LR,2022-02-13 22:09:16,4.375,-7.7169,78.01,85,59,3.67,broken clouds
148,Caravelas,BR,2022-02-13 22:10:11,-17.7125,-39.2481,76.68,84,77,6.78,broken clouds
149,Guaruja,BR,2022-02-13 22:05:22,-23.9931,-46.2564,83.16,26,56,1.01,broken clouds
150,Parauna,BR,2022-02-13 22:10:12,-16.9478,-50.4486,71.37,94,43,5.99,scattered clouds
151,Bengkulu,ID,2022-02-13 22:10:13,-3.8004,102.2655,75.52,89,99,3.94,overcast clouds
152,San Matias,BO,2022-02-13 22:10:13,-16.3667,-58.4,78.42,85,100,4.79,overcast clouds
153,Vila Velha,BR,2022-02-13 22:10:14,-20.3297,-40.2925,76.95,94,100,4.61,overcast clouds
154,Hermanus,ZA,2022-02-13 22:08:01,-34.4187,19.2345,65.8,83,58,18.05,broken clouds
155,Aklavik,CA,2022-02-13 22:10:14,68.2191,-135.0107,-18.33,96,100,6.35,light snow
156,Omboue,GA,2022-02-13 22:10:15,-1.5746,9.2618,78.21,85,98,3.96,overcast clouds
157,Victoria,HK,2022-02-13 22:06:04,22.2855,114.1577,61.95,85,100,10.0,overcast clouds
158,Cabo San Lucas,MX,2022-02-13 22:09:43,22.8909,-109.9124,83.61,49,40,13.8,scattered clouds
159,Xichang,CN,2022-02-13 22:10:15,27.8964,102.2634,37.13,74,0,1.3,clear sky
160,Yeppoon,AU,2022-02-13 22:10:16,-23.1333,150.7333,76.78,78,33,19.13,scattered clouds
161,Maun,BW,2022-02-13 22:10:16,-19.9833,23.4167,71.46,65,8,2.08,clear sky
162,Saint Anthony,US,2022-02-13 22:09:42,45.0205,-93.218,9.28,54,100,12.66,overcast clouds
163,Vanimo,PG,2022-02-13 22:10:17,-2.6741,141.3028,78.01,89,100,3.67,overcast clouds
164,Port Macquarie,AU,2022-02-13 22:09:15,-31.4333,152.9167,68.9,69,63,2.77,broken clouds
165,Cayenne,GF,2022-02-13 22:10:17,4.9333,-52.3333,80.1,86,100,2.3,light rain
166,Dhidhdhoo,MV,2022-02-13 22:10:18,6.8833,73.1,78.46,80,100,4.5,overcast clouds
