City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Safford,US,2022-02-09 21:15:43,32.834,-109.7076,69.51,15,0,6.91
222,Cidreira,BR,2022-02-09 21:11:15,-30.1811,-50.2056,73.54,66,31,11.21
223,Pilar,BR,2022-02-09 21:14:44,-9.5972,-35.9567,80.53,71,55,10.31
224,San Quintin,MX,2022-02-09 21:12:42,30.4833,-115.95,69.69,32,48,6.73
225,Richards Bay,ZA,2022-02-09 21:16:44,-28.783,32.0377,71.11,88,0,3.49
226,Huarmey,PE,2022-02-09 21:16:44,-10.0681,-78.1522,74.53,70,98,8.55
227,East Grinstead,GB,2022-02-09 21:16:45,51.1238,-0.0061,50.32,92,75,4.61
228,San Carlos,VE,2022-02-09 21:15:26,9.6612,-68.5827,89.19,45,100,1.52
229,Yichun,CN,2022-02-09 21:16:45,47.7,128.9,0.28,99,100,1.3
230,Santa Rosa,PH,2022-02-09 21:07:04,14.3122,121.1114,77.11,76,70,4.94
231,Dunmore East,IE,2022-02-09 21:16:46,52.1514,-6.9861,44.33,78,20,0.0
232,Jennings,US,2022-02-09 21:16:46,38.7192,-90.2604,55.22,46,40,21.0
233,Iqaluit,CA,2022-02-09 21:12:06,63.7506,-68.5145,-22.31,67,10,10.0
234,Birjand,IR,2022-02-09 21:16:46,32.8663,59.2211,32.47,43,0,4.61
235,Yerbogachen,RU,2022-02-09 21:16:47,61.2767,108.0108,-32.96,100,74,3.22
236,San Miguel,SV,2022-02-09 21:16:47,13.4833,-88.1833,92.8,36,40,9.22
237,Kerman,IR,2022-02-09 21:16:47,30.2832,57.0788,35.46,32,0,4.61
238,Mathbaria,BD,2022-02-09 21:16:48,22.2876,89.9593,63.57,59,3,2.46
239,Lebu,CL,2022-02-09 21:14:03,-37.6167,-73.65,62.69,69,0,22.01
240,Evensk,RU,2022-02-09 21:16:48,61.95,159.2333,-12.21,72,25,5.21
241,West Bay,KY,2022-02-09 21:16:49,19.3667,-81.4167,83.07,76,40,6.91
242,Nome,US,2022-02-09 21:06:53,64.5011,-165.4064,-9.33,70,100,9.22
243,Yashkul,RU,2022-02-09 21:16:49,46.1711,45.3435,40.82,93,100,8.43
244,Celestun,MX,2022-02-09 21:16:50,20.8667,-90.4,72.72,62,11,12.93
245,Guiratinga,BR,2022-02-09 21:16:50,-16.3494,-53.7583,70.88,94,100,1.7
246,Balykshi,KZ,2022-02-09 21:16:51,47.0667,51.8667,28.4,86,40,17.9
247,Seydi,TM,2022-02-09 21:16:51,39.4816,62.9137,45.79,55,55,10.74
248,Camana,PE,2022-02-09 21:16:51,-16.6228,-72.7111,73.24,68,10,8.03
249,Ostrovnoy,RU,2022-02-09 21:16:52,68.0531,39.5131,23.25,87,77,19.01
250,Moranbah,AU,2022-02-09 21:16:52,-22.0016,148.0466,74.01,71,2,4.56
251,Saint-Michel-Des-Saints,CA,2022-02-09 21:16:53,46.6834,-73.9159,29.93,88,100,8.59
252,Coquimbo,CL,2022-02-09 21:16:53,-29.9533,-71.3436,65.93,77,75,9.22
253,Merauke,ID,2022-02-09 21:07:01,-8.4667,140.3333,76.93,91,98,7.43
254,Jalu,LY,2022-02-09 21:16:53,29.0331,21.5482,53.82,46,17,9.75
255,Guaratinga,BR,2022-02-09 21:16:54,-16.5667,-39.5667,81.27,79,52,8.16
256,Abomsa,ET,2022-02-09 21:16:54,9.9833,39.9833,69.13,39,9,3.51
257,Marienburg,PL,2022-02-09 21:16:55,54.0359,19.0266,48.96,85,100,12.59
258,Machiques,VE,2022-02-09 21:16:55,10.0644,-72.545,90.16,50,96,10.49
259,Venice,US,2022-02-09 21:16:27,27.0998,-82.4543,72.05,65,0,17.27
260,Svetlaya,RU,2022-02-09 21:16:56,46.5389,138.3297,12.47,74,21,5.79
261,Constitucion,CL,2022-02-09 21:16:56,-35.3333,-72.4167,67.87,68,16,13.98
262,Khon Buri,TH,2022-02-09 21:16:57,14.5254,102.2459,84.61,60,35,1.68
263,Bathsheba,BB,2022-02-09 21:16:57,13.2167,-59.5167,77.61,73,40,18.41
264,Norrtalje,SE,2022-02-09 21:16:57,59.758,18.705,38.28,66,10,13.62
265,Tautira,PF,2022-02-09 21:16:58,-17.7333,-149.15,84.22,77,24,16.15
266,Garhi Khairo,PK,2022-02-09 21:17:58,28.0606,67.9803,58.77,39,0,2.48
267,Lecco,IT,2022-02-09 21:17:59,45.8533,9.3905,49.15,79,8,2.24
268,Ritchie,ZA,2022-02-09 21:17:59,-29.038,24.6028,67.21,34,6,8.84
269,Saint-Joseph,RE,2022-02-09 21:17:59,-21.3667,55.6167,71.98,81,81,5.93
270,Komsomolskiy,UZ,2022-02-09 21:18:00,40.4272,71.7189,35.02,74,100,2.3
271,Saint-Pierre,RE,2022-02-09 21:18:00,-21.3393,55.4781,73.08,78,40,3.44
272,Aripuana,BR,2022-02-09 21:18:01,-9.1667,-60.6333,77.58,93,91,2.28
