City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
596,Jacareacanga,BR,76.17,broken clouds,-6.2222,-57.7528,Casa do Ian😎
597,Wodonga,AU,79.27,overcast clouds,-36.1167,146.8833,The Hume Inn Motel
602,Port Hedland,AU,80.65,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
607,Chichimila,MX,76.3,broken clouds,20.6167,-88.2167,Casa Kiin
609,Kulhudhuffushi,MV,79.11,overcast clouds,6.6221,73.07,Haajy Guest House 1
610,Wewak,PG,78.03,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
614,Garca,BR,85.19,scattered clouds,-22.2106,-49.6561,Santa Maria Park Hotel
619,Richards Bay,ZA,75.87,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
620,Mackay,AU,81.68,scattered clouds,-21.15,149.2,International Lodge Motel
622,Amboasary,MG,78.64,clear sky,-25.0333,46.3833,DISCOVERY AMBOASARY
629,Nacozari,MX,86.05,overcast clouds,25.3366,-108.2574,
630,Lujan,AR,78.98,clear sky,-34.5703,-59.105,Hotel Biarritz
633,Paita,PE,81.16,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
636,Prachuap Khiri Khan,TH,78.69,scattered clouds,12.2167,99.75,ผกากรองรีสอร์ท
639,Kailua,US,80.58,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
640,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
654,Poya,NC,83.66,overcast clouds,-21.35,165.15,
657,Hobyo,SO,77.9,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
660,La Asuncion,VE,77.47,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
665,Road Town,VG,77.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
